run,nr,vr,repetition,Module,normalQueueLength:timeavg
FactorialAnalysisFifo-0-20200110-14:57:00-18222,0.1,1.3 -(0.1),0,Network.cashier,2.1530090654694
FactorialAnalysisFifo-1-20200110-14:57:00-18224,0.1,1.3 -(0.1),1,Network.cashier,2.184219218373
FactorialAnalysisFifo-2-20200110-14:57:00-18225,0.1,1.3 -(0.1),2,Network.cashier,2.1207839170267
FactorialAnalysisFifo-3-20200110-14:57:00-18223,0.1,1.3 -(0.1),3,Network.cashier,2.2978753104418
FactorialAnalysisFifo-4-20200110-14:57:03-18245,0.1,1.3 -(0.1),4,Network.cashier,2.193896368755
FactorialAnalysisFifo-5-20200110-14:57:04-18250,0.1,1.3 -(0.1),0,Network.cashier,0.22914839982034
FactorialAnalysisFifo-6-20200110-14:57:04-18255,0.1,1.3 -(0.1),1,Network.cashier,0.23793419856937
FactorialAnalysisFifo-7-20200110-14:57:04-18260,0.1,1.3 -(0.1),2,Network.cashier,0.23424800344476
FactorialAnalysisFifo-8-20200110-14:57:07-18265,0.1,1.3 -(0.1),3,Network.cashier,0.22390807775595
FactorialAnalysisFifo-9-20200110-14:57:07-18270,0.1,1.3 -(0.1),4,Network.cashier,0.23469899707613
FactorialAnalysisFifo-10-20200110-14:57:07-18275,0.1,1.3 -(0.1),0,Network.cashier,2.224974687827
FactorialAnalysisFifo-11-20200110-14:57:08-18280,0.1,1.3 -(0.1),1,Network.cashier,2.2216466903236
FactorialAnalysisFifo-12-20200110-14:57:10-18285,0.1,1.3 -(0.1),2,Network.cashier,2.1724237567881
FactorialAnalysisFifo-13-20200110-14:57:10-18290,0.1,1.3 -(0.1),3,Network.cashier,2.1595998413101
FactorialAnalysisFifo-14-20200110-14:57:10-18295,0.1,1.3 -(0.1),4,Network.cashier,2.292194793137
FactorialAnalysisFifo-15-20200110-14:57:11-18300,0.1,1.3 -(0.1),0,Network.cashier,0.23382895876444
FactorialAnalysisFifo-16-20200110-14:57:14-18305,0.1,1.3 -(0.1),1,Network.cashier,0.23209234797994
FactorialAnalysisFifo-17-20200110-14:57:14-18310,0.1,1.3 -(0.1),2,Network.cashier,0.23211915841367
FactorialAnalysisFifo-18-20200110-14:57:14-18315,0.1,1.3 -(0.1),3,Network.cashier,0.23067546872831
FactorialAnalysisFifo-19-20200110-14:57:15-18320,0.1,1.3 -(0.1),4,Network.cashier,0.23076263384008
FactorialAnalysisFifo-20-20200110-14:57:18-18325,0.1,1.3 -(0.1),0,Network.cashier,2.1766431875836
FactorialAnalysisFifo-21-20200110-14:57:18-18330,0.1,1.3 -(0.1),1,Network.cashier,2.1057825318689
FactorialAnalysisFifo-22-20200110-14:57:18-18335,0.1,1.3 -(0.1),2,Network.cashier,2.1513126179581
FactorialAnalysisFifo-23-20200110-14:57:18-18340,0.1,1.3 -(0.1),3,Network.cashier,2.1578615870495
FactorialAnalysisFifo-24-20200110-14:57:22-18346,0.1,1.3 -(0.1),4,Network.cashier,2.1904136643725
FactorialAnalysisFifo-25-20200110-14:57:22-18351,0.1,1.3 -(0.1),0,Network.cashier,0.22092455226025
FactorialAnalysisFifo-26-20200110-14:57:22-18356,0.1,1.3 -(0.1),1,Network.cashier,0.23202927203781
FactorialAnalysisFifo-27-20200110-14:57:23-18361,0.1,1.3 -(0.1),2,Network.cashier,0.22741903551986
FactorialAnalysisFifo-28-20200110-14:57:26-18366,0.1,1.3 -(0.1),3,Network.cashier,0.22907008425865
FactorialAnalysisFifo-29-20200110-14:57:27-18371,0.1,1.3 -(0.1),4,Network.cashier,0.22683345348334
FactorialAnalysisFifo-30-20200110-14:57:27-18376,0.1,1.3 -(0.1),0,Network.cashier,2.1218552021276
FactorialAnalysisFifo-31-20200110-14:57:27-18381,0.1,1.3 -(0.1),1,Network.cashier,2.2298893522164
FactorialAnalysisFifo-32-20200110-14:57:30-18386,0.1,1.3 -(0.1),2,Network.cashier,2.1430420242883
FactorialAnalysisFifo-33-20200110-14:57:31-18391,0.1,1.3 -(0.1),3,Network.cashier,2.321474705332
FactorialAnalysisFifo-34-20200110-14:57:31-18396,0.1,1.3 -(0.1),4,Network.cashier,2.0717138947585
FactorialAnalysisFifo-35-20200110-14:57:32-18401,0.1,1.3 -(0.1),0,Network.cashier,0.23111143906928
FactorialAnalysisFifo-36-20200110-14:57:34-18406,0.1,1.3 -(0.1),1,Network.cashier,0.22562443958195
FactorialAnalysisFifo-37-20200110-14:57:35-18413,0.1,1.3 -(0.1),2,Network.cashier,0.23575561105478
FactorialAnalysisFifo-38-20200110-14:57:35-18418,0.1,1.3 -(0.1),3,Network.cashier,0.23574642325668
FactorialAnalysisFifo-39-20200110-14:57:36-18423,0.1,1.3 -(0.1),4,Network.cashier,0.23395070388427
FactorialAnalysisFifo-40-20200110-14:57:38-18428,1.2,1.3 -(1.2),0,Network.cashier,5.7172262656968
FactorialAnalysisFifo-41-20200110-14:57:39-18433,1.2,1.3 -(1.2),1,Network.cashier,5.6781161304792
FactorialAnalysisFifo-42-20200110-14:57:39-18438,1.2,1.3 -(1.2),2,Network.cashier,5.553553742859
FactorialAnalysisFifo-43-20200110-14:57:40-18443,1.2,1.3 -(1.2),3,Network.cashier,5.5609230026528
FactorialAnalysisFifo-44-20200110-14:57:42-18448,1.2,1.3 -(1.2),4,Network.cashier,5.6531780221446
FactorialAnalysisFifo-45-20200110-14:57:43-18453,1.2,1.3 -(1.2),0,Network.cashier,1.1943841041037
FactorialAnalysisFifo-46-20200110-14:57:43-18458,1.2,1.3 -(1.2),1,Network.cashier,1.1852219841452
FactorialAnalysisFifo-47-20200110-14:57:45-18463,1.2,1.3 -(1.2),2,Network.cashier,1.1826013795243
FactorialAnalysisFifo-48-20200110-14:57:47-18468,1.2,1.3 -(1.2),3,Network.cashier,1.1787898507614
FactorialAnalysisFifo-49-20200110-14:57:47-18473,1.2,1.3 -(1.2),4,Network.cashier,1.1734948458548
FactorialAnalysisFifo-50-20200110-14:57:47-18478,1.2,1.3 -(1.2),0,Network.cashier,5.443365609626
FactorialAnalysisFifo-51-20200110-14:57:49-18483,1.2,1.3 -(1.2),1,Network.cashier,5.6633622531083
FactorialAnalysisFifo-52-20200110-14:57:50-18489,1.2,1.3 -(1.2),2,Network.cashier,5.5352418752794
FactorialAnalysisFifo-53-20200110-14:57:51-18495,1.2,1.3 -(1.2),3,Network.cashier,5.6050536663137
FactorialAnalysisFifo-54-20200110-14:57:51-18500,1.2,1.3 -(1.2),4,Network.cashier,5.5263748434741
FactorialAnalysisFifo-55-20200110-14:57:53-18505,1.2,1.3 -(1.2),0,Network.cashier,1.1786034097578
FactorialAnalysisFifo-56-20200110-14:57:54-18510,1.2,1.3 -(1.2),1,Network.cashier,1.1750737208679
FactorialAnalysisFifo-57-20200110-14:57:55-18515,1.2,1.3 -(1.2),2,Network.cashier,1.1751737781156
FactorialAnalysisFifo-58-20200110-14:57:55-18520,1.2,1.3 -(1.2),3,Network.cashier,1.1833145580943
FactorialAnalysisFifo-59-20200110-14:57:56-18525,1.2,1.3 -(1.2),4,Network.cashier,1.1846439341498
FactorialAnalysisFifo-60-20200110-14:57:58-18530,1.2,1.3 -(1.2),0,Network.cashier,5.3160520599741
FactorialAnalysisFifo-61-20200110-14:57:59-18535,1.2,1.3 -(1.2),1,Network.cashier,5.6725877681441
FactorialAnalysisFifo-62-20200110-14:57:59-18540,1.2,1.3 -(1.2),2,Network.cashier,5.741824180287
FactorialAnalysisFifo-63-20200110-14:58:00-18545,1.2,1.3 -(1.2),3,Network.cashier,5.6068387175456
FactorialAnalysisFifo-64-20200110-14:58:02-18550,1.2,1.3 -(1.2),4,Network.cashier,5.4087514590818
FactorialAnalysisFifo-65-20200110-14:58:03-18555,1.2,1.3 -(1.2),0,Network.cashier,1.1672797601909
FactorialAnalysisFifo-66-20200110-14:58:03-18560,1.2,1.3 -(1.2),1,Network.cashier,1.1802818476469
FactorialAnalysisFifo-67-20200110-14:58:05-18565,1.2,1.3 -(1.2),2,Network.cashier,1.1931111857337
