run,nr,vr,repetition,Module,compoundResponseTimeRatio:last
FactorialAnalysisFifo-0-20200110-14:57:00-18222,0.1,1.3 -(0.1),0,Network.exit,0.74070285047083
FactorialAnalysisFifo-1-20200110-14:57:00-18224,0.1,1.3 -(0.1),1,Network.exit,0.74655957708512
FactorialAnalysisFifo-2-20200110-14:57:00-18225,0.1,1.3 -(0.1),2,Network.exit,0.73518918296838
FactorialAnalysisFifo-3-20200110-14:57:00-18223,0.1,1.3 -(0.1),3,Network.exit,0.75403271685781
FactorialAnalysisFifo-4-20200110-14:57:03-18245,0.1,1.3 -(0.1),4,Network.exit,0.74357806588875
FactorialAnalysisFifo-5-20200110-14:57:04-18250,0.1,1.3 -(0.1),0,Network.exit,0.28732226744157
FactorialAnalysisFifo-6-20200110-14:57:04-18255,0.1,1.3 -(0.1),1,Network.exit,0.26719688508855
FactorialAnalysisFifo-7-20200110-14:57:04-18260,0.1,1.3 -(0.1),2,Network.exit,0.27848276401913
FactorialAnalysisFifo-8-20200110-14:57:07-18265,0.1,1.3 -(0.1),3,Network.exit,0.26449467379597
FactorialAnalysisFifo-9-20200110-14:57:07-18270,0.1,1.3 -(0.1),4,Network.exit,0.26357628555764
FactorialAnalysisFifo-10-20200110-14:57:07-18275,0.1,1.3 -(0.1),0,Network.exit,0.77768703386838
FactorialAnalysisFifo-11-20200110-14:57:08-18280,0.1,1.3 -(0.1),1,Network.exit,0.77488919154092
FactorialAnalysisFifo-12-20200110-14:57:10-18285,0.1,1.3 -(0.1),2,Network.exit,0.76820394701696
FactorialAnalysisFifo-13-20200110-14:57:10-18290,0.1,1.3 -(0.1),3,Network.exit,0.77671227885969
FactorialAnalysisFifo-14-20200110-14:57:10-18295,0.1,1.3 -(0.1),4,Network.exit,0.78655772484737
FactorialAnalysisFifo-15-20200110-14:57:11-18300,0.1,1.3 -(0.1),0,Network.exit,0.2968531295845
FactorialAnalysisFifo-16-20200110-14:57:14-18305,0.1,1.3 -(0.1),1,Network.exit,0.32146385631826
FactorialAnalysisFifo-17-20200110-14:57:14-18310,0.1,1.3 -(0.1),2,Network.exit,0.30241170235232
FactorialAnalysisFifo-18-20200110-14:57:14-18315,0.1,1.3 -(0.1),3,Network.exit,0.32371163758749
FactorialAnalysisFifo-19-20200110-14:57:15-18320,0.1,1.3 -(0.1),4,Network.exit,0.32815926616978
FactorialAnalysisFifo-20-20200110-14:57:18-18325,0.1,1.3 -(0.1),0,Network.exit,0.50383814432505
FactorialAnalysisFifo-21-20200110-14:57:18-18330,0.1,1.3 -(0.1),1,Network.exit,0.50827089380668
FactorialAnalysisFifo-22-20200110-14:57:18-18335,0.1,1.3 -(0.1),2,Network.exit,0.51531942445821
FactorialAnalysisFifo-23-20200110-14:57:18-18340,0.1,1.3 -(0.1),3,Network.exit,0.51531800966948
FactorialAnalysisFifo-24-20200110-14:57:22-18346,0.1,1.3 -(0.1),4,Network.exit,0.51574386046509
FactorialAnalysisFifo-25-20200110-14:57:22-18351,0.1,1.3 -(0.1),0,Network.exit,0.10250733057505
FactorialAnalysisFifo-26-20200110-14:57:22-18356,0.1,1.3 -(0.1),1,Network.exit,0.11821677157626
FactorialAnalysisFifo-27-20200110-14:57:23-18361,0.1,1.3 -(0.1),2,Network.exit,0.10880544693721
FactorialAnalysisFifo-28-20200110-14:57:26-18366,0.1,1.3 -(0.1),3,Network.exit,0.098952266666297
FactorialAnalysisFifo-29-20200110-14:57:27-18371,0.1,1.3 -(0.1),4,Network.exit,0.093855357433109
FactorialAnalysisFifo-30-20200110-14:57:27-18376,0.1,1.3 -(0.1),0,Network.exit,0.70161859222164
FactorialAnalysisFifo-31-20200110-14:57:27-18381,0.1,1.3 -(0.1),1,Network.exit,0.71019861119966
