run,nr,vr,repetition,Module,fifoQueueLength:timeavg
FactorialAnalysisFifo-0-20200110-14:57:00-18222,0.1,1.3 -(0.1),0,Network.kitchen,0.11560080944871
FactorialAnalysisFifo-1-20200110-14:57:00-18224,0.1,1.3 -(0.1),1,Network.kitchen,0.11767552366833
FactorialAnalysisFifo-2-20200110-14:57:00-18225,0.1,1.3 -(0.1),2,Network.kitchen,0.1185003530026
FactorialAnalysisFifo-3-20200110-14:57:00-18223,0.1,1.3 -(0.1),3,Network.kitchen,0.11633566059853
FactorialAnalysisFifo-4-20200110-14:57:03-18245,0.1,1.3 -(0.1),4,Network.kitchen,0.12004734753041
FactorialAnalysisFifo-5-20200110-14:57:04-18250,0.1,1.3 -(0.1),0,Network.kitchen,0.11895495018934
FactorialAnalysisFifo-6-20200110-14:57:04-18255,0.1,1.3 -(0.1),1,Network.kitchen,0.11714996271751
FactorialAnalysisFifo-7-20200110-14:57:04-18260,0.1,1.3 -(0.1),2,Network.kitchen,0.11835329976359
FactorialAnalysisFifo-8-20200110-14:57:07-18265,0.1,1.3 -(0.1),3,Network.kitchen,0.12394521515738
FactorialAnalysisFifo-9-20200110-14:57:07-18270,0.1,1.3 -(0.1),4,Network.kitchen,0.11795241103767
FactorialAnalysisFifo-10-20200110-14:57:07-18275,0.1,1.3 -(0.1),0,Network.kitchen,0.062323052397134
FactorialAnalysisFifo-11-20200110-14:57:08-18280,0.1,1.3 -(0.1),1,Network.kitchen,0.059999180648463
FactorialAnalysisFifo-12-20200110-14:57:10-18285,0.1,1.3 -(0.1),2,Network.kitchen,0.058821611772266
FactorialAnalysisFifo-13-20200110-14:57:10-18290,0.1,1.3 -(0.1),3,Network.kitchen,0.060555148111044
FactorialAnalysisFifo-14-20200110-14:57:10-18295,0.1,1.3 -(0.1),4,Network.kitchen,0.059900669701197
FactorialAnalysisFifo-15-20200110-14:57:11-18300,0.1,1.3 -(0.1),0,Network.kitchen,0.060598452477171
FactorialAnalysisFifo-16-20200110-14:57:14-18305,0.1,1.3 -(0.1),1,Network.kitchen,0.05896808412503
FactorialAnalysisFifo-17-20200110-14:57:14-18310,0.1,1.3 -(0.1),2,Network.kitchen,0.058984094912809
FactorialAnalysisFifo-18-20200110-14:57:14-18315,0.1,1.3 -(0.1),3,Network.kitchen,0.057538869413588
FactorialAnalysisFifo-19-20200110-14:57:15-18320,0.1,1.3 -(0.1),4,Network.kitchen,0.061138184699009
FactorialAnalysisFifo-20-20200110-14:57:18-18325,0.1,1.3 -(0.1),0,Network.kitchen,5.7350946958736
FactorialAnalysisFifo-21-20200110-14:57:18-18330,0.1,1.3 -(0.1),1,Network.kitchen,5.3960742372085
FactorialAnalysisFifo-22-20200110-14:57:18-18335,0.1,1.3 -(0.1),2,Network.kitchen,5.3062469837321
FactorialAnalysisFifo-23-20200110-14:57:18-18340,0.1,1.3 -(0.1),3,Network.kitchen,5.4241085219769
FactorialAnalysisFifo-24-20200110-14:57:22-18346,0.1,1.3 -(0.1),4,Network.kitchen,5.4600674797656
FactorialAnalysisFifo-25-20200110-14:57:22-18351,0.1,1.3 -(0.1),0,Network.kitchen,5.3488547583965
FactorialAnalysisFifo-26-20200110-14:57:22-18356,0.1,1.3 -(0.1),1,Network.kitchen,5.3139341887223
FactorialAnalysisFifo-27-20200110-14:57:23-18361,0.1,1.3 -(0.1),2,Network.kitchen,5.8725787230125
FactorialAnalysisFifo-28-20200110-14:57:26-18366,0.1,1.3 -(0.1),3,Network.kitchen,5.8560675757101
FactorialAnalysisFifo-29-20200110-14:57:27-18371,0.1,1.3 -(0.1),4,Network.kitchen,5.483206562162
FactorialAnalysisFifo-30-20200110-14:57:27-18376,0.1,1.3 -(0.1),0,Network.kitchen,1.1993582485163
FactorialAnalysisFifo-31-20200110-14:57:27-18381,0.1,1.3 -(0.1),1,Network.kitchen,1.2154069621257
FactorialAnalysisFifo-32-20200110-14:57:30-18386,0.1,1.3 -(0.1),2,Network.kitchen,1.2416456302611
FactorialAnalysisFifo-33-20200110-14:57:31-18391,0.1,1.3 -(0.1),3,Network.kitchen,1.2399585066355
FactorialAnalysisFifo-34-20200110-14:57:31-18396,0.1,1.3 -(0.1),4,Network.kitchen,1.2020057381771
FactorialAnalysisFifo-35-20200110-14:57:32-18401,0.1,1.3 -(0.1),0,Network.kitchen,1.2054419146457
FactorialAnalysisFifo-36-20200110-14:57:34-18406,0.1,1.3 -(0.1),1,Network.kitchen,1.2056050080109
FactorialAnalysisFifo-37-20200110-14:57:35-18413,0.1,1.3 -(0.1),2,Network.kitchen,1.2350014505216
FactorialAnalysisFifo-38-20200110-14:57:35-18418,0.1,1.3 -(0.1),3,Network.kitchen,1.1755280598575
FactorialAnalysisFifo-39-20200110-14:57:36-18423,0.1,1.3 -(0.1),4,Network.kitchen,1.2217098619725
FactorialAnalysisFifo-40-20200110-14:57:38-18428,1.2,1.3 -(1.2),0,Network.kitchen,0.11240913037016
FactorialAnalysisFifo-41-20200110-14:57:39-18433,1.2,1.3 -(1.2),1,Network.kitchen,0.11593041460454
FactorialAnalysisFifo-42-20200110-14:57:39-18438,1.2,1.3 -(1.2),2,Network.kitchen,0.12033403117613
FactorialAnalysisFifo-43-20200110-14:57:40-18443,1.2,1.3 -(1.2),3,Network.kitchen,0.11735297733002
FactorialAnalysisFifo-44-20200110-14:57:42-18448,1.2,1.3 -(1.2),4,Network.kitchen,0.12043830602969
FactorialAnalysisFifo-45-20200110-14:57:43-18453,1.2,1.3 -(1.2),0,Network.kitchen,0.12083409696075
FactorialAnalysisFifo-46-20200110-14:57:43-18458,1.2,1.3 -(1.2),1,Network.kitchen,0.11751827118393
FactorialAnalysisFifo-47-20200110-14:57:45-18463,1.2,1.3 -(1.2),2,Network.kitchen,0.11751721512075
FactorialAnalysisFifo-48-20200110-14:57:47-18468,1.2,1.3 -(1.2),3,Network.kitchen,0.11449021770249
FactorialAnalysisFifo-49-20200110-14:57:47-18473,1.2,1.3 -(1.2),4,Network.kitchen,0.1176382859141
FactorialAnalysisFifo-50-20200110-14:57:47-18478,1.2,1.3 -(1.2),0,Network.kitchen,0.059033059488384
FactorialAnalysisFifo-51-20200110-14:57:49-18483,1.2,1.3 -(1.2),1,Network.kitchen,0.058148962993959
FactorialAnalysisFifo-52-20200110-14:57:50-18489,1.2,1.3 -(1.2),2,Network.kitchen,0.059280746129681
FactorialAnalysisFifo-53-20200110-14:57:51-18495,1.2,1.3 -(1.2),3,Network.kitchen,0.05894938809472
FactorialAnalysisFifo-54-20200110-14:57:51-18500,1.2,1.3 -(1.2),4,Network.kitchen,0.058686369365005
FactorialAnalysisFifo-55-20200110-14:57:53-18505,1.2,1.3 -(1.2),0,Network.kitchen,0.060131451646415
FactorialAnalysisFifo-56-20200110-14:57:54-18510,1.2,1.3 -(1.2),1,Network.kitchen,0.059481178232015
FactorialAnalysisFifo-57-20200110-14:57:55-18515,1.2,1.3 -(1.2),2,Network.kitchen,0.05907868399181
FactorialAnalysisFifo-58-20200110-14:57:55-18520,1.2,1.3 -(1.2),3,Network.kitchen,0.059425889660663
FactorialAnalysisFifo-59-20200110-14:57:56-18525,1.2,1.3 -(1.2),4,Network.kitchen,0.059760874596246
FactorialAnalysisFifo-60-20200110-14:57:58-18530,1.2,1.3 -(1.2),0,Network.kitchen,5.8799046356892
FactorialAnalysisFifo-61-20200110-14:57:59-18535,1.2,1.3 -(1.2),1,Network.kitchen,5.2559724058893
FactorialAnalysisFifo-62-20200110-14:57:59-18540,1.2,1.3 -(1.2),2,Network.kitchen,5.9203302951252
FactorialAnalysisFifo-63-20200110-14:58:00-18545,1.2,1.3 -(1.2),3,Network.kitchen,5.5652922715573
FactorialAnalysisFifo-64-20200110-14:58:02-18550,1.2,1.3 -(1.2),4,Network.kitchen,5.9845155967136
FactorialAnalysisFifo-65-20200110-14:58:03-18555,1.2,1.3 -(1.2),0,Network.kitchen,5.5396349365075
FactorialAnalysisFifo-66-20200110-14:58:03-18560,1.2,1.3 -(1.2),1,Network.kitchen,5.8254062011905
FactorialAnalysisFifo-67-20200110-14:58:05-18565,1.2,1.3 -(1.2),2,Network.kitchen,5.6569594904915
FactorialAnalysisFifo-68-20200110-14:58:07-18570,1.2,1.3 -(1.2),3,Network.kitchen,6.391114367733
FactorialAnalysisFifo-69-20200110-14:58:07-18575,1.2,1.3 -(1.2),4,Network.kitchen,5.7919911132251
FactorialAnalysisFifo-70-20200110-14:58:07-18580,1.2,1.3 -(1.2),0,Network.kitchen,1.1847077174738
FactorialAnalysisFifo-71-20200110-14:58:09-18585,1.2,1.3 -(1.2),1,Network.kitchen,1.2052392850698
FactorialAnalysisFifo-72-20200110-14:58:11-18590,1.2,1.3 -(1.2),2,Network.kitchen,1.1892402145939
FactorialAnalysisFifo-73-20200110-14:58:11-18595,1.2,1.3 -(1.2),3,Network.kitchen,1.2225523573682
FactorialAnalysisFifo-74-20200110-14:58:11-18600,1.2,1.3 -(1.2),4,Network.kitchen,1.2008604281751
FactorialAnalysisFifo-75-20200110-14:58:14-18605,1.2,1.3 -(1.2),0,Network.kitchen,1.2277433569363
FactorialAnalysisFifo-76-20200110-14:58:15-18610,1.2,1.3 -(1.2),1,Network.kitchen,1.1952285566528
FactorialAnalysisFifo-77-20200110-14:58:15-18615,1.2,1.3 -(1.2),2,Network.kitchen,1.2320043817913
FactorialAnalysisFifo-78-20200110-14:58:16-18620,1.2,1.3 -(1.2),3,Network.kitchen,1.1986692383188
FactorialAnalysisFifo-79-20200110-14:58:18-18625,1.2,1.3 -(1.2),4,Network.kitchen,1.2057615539168
