run,nr,vr,repetition,Module,simpleResponseTimeRatio:last
FactorialAnalysisFifo-0-20200110-14:57:00-18222,0.1,1.3 -(0.1),0,Network.exit,0.83829498023809
FactorialAnalysisFifo-1-20200110-14:57:00-18224,0.1,1.3 -(0.1),1,Network.exit,0.84096089969034
FactorialAnalysisFifo-2-20200110-14:57:00-18225,0.1,1.3 -(0.1),2,Network.exit,0.83767272831436
FactorialAnalysisFifo-3-20200110-14:57:00-18223,0.1,1.3 -(0.1),3,Network.exit,0.84749596750286
FactorialAnalysisFifo-4-20200110-14:57:03-18245,0.1,1.3 -(0.1),4,Network.exit,0.84177276627934
FactorialAnalysisFifo-5-20200110-14:57:04-18250,0.1,1.3 -(0.1),0,Network.exit,0.53332410535301
FactorialAnalysisFifo-6-20200110-14:57:04-18255,0.1,1.3 -(0.1),1,Network.exit,0.54350985464034
FactorialAnalysisFifo-7-20200110-14:57:04-18260,0.1,1.3 -(0.1),2,Network.exit,0.53386819884328
FactorialAnalysisFifo-8-20200110-14:57:07-18265,0.1,1.3 -(0.1),3,Network.exit,0.52342436443929
FactorialAnalysisFifo-9-20200110-14:57:07-18270,0.1,1.3 -(0.1),4,Network.exit,0.53795294021822
FactorialAnalysisFifo-10-20200110-14:57:07-18275,0.1,1.3 -(0.1),0,Network.exit,0.84429067261738
FactorialAnalysisFifo-11-20200110-14:57:08-18280,0.1,1.3 -(0.1),1,Network.exit,0.84242209482322
FactorialAnalysisFifo-12-20200110-14:57:10-18285,0.1,1.3 -(0.1),2,Network.exit,0.84107468512859
FactorialAnalysisFifo-13-20200110-14:57:10-18290,0.1,1.3 -(0.1),3,Network.exit,0.84144627193805
FactorialAnalysisFifo-14-20200110-14:57:10-18295,0.1,1.3 -(0.1),4,Network.exit,0.84599152290138
FactorialAnalysisFifo-15-20200110-14:57:11-18300,0.1,1.3 -(0.1),0,Network.exit,0.53595094046243
FactorialAnalysisFifo-16-20200110-14:57:14-18305,0.1,1.3 -(0.1),1,Network.exit,0.53301260304655
FactorialAnalysisFifo-17-20200110-14:57:14-18310,0.1,1.3 -(0.1),2,Network.exit,0.53594187058977
FactorialAnalysisFifo-18-20200110-14:57:14-18315,0.1,1.3 -(0.1),3,Network.exit,0.53085114640471
FactorialAnalysisFifo-19-20200110-14:57:15-18320,0.1,1.3 -(0.1),4,Network.exit,0.52675306122474
FactorialAnalysisFifo-20-20200110-14:57:18-18325,0.1,1.3 -(0.1),0,Network.exit,0.84077756395291
FactorialAnalysisFifo-21-20200110-14:57:18-18330,0.1,1.3 -(0.1),1,Network.exit,0.83587695108645
FactorialAnalysisFifo-22-20200110-14:57:18-18335,0.1,1.3 -(0.1),2,Network.exit,0.84233884937567
FactorialAnalysisFifo-23-20200110-14:57:18-18340,0.1,1.3 -(0.1),3,Network.exit,0.84141542466008
FactorialAnalysisFifo-24-20200110-14:57:22-18346,0.1,1.3 -(0.1),4,Network.exit,0.84262202740874
FactorialAnalysisFifo-25-20200110-14:57:22-18351,0.1,1.3 -(0.1),0,Network.exit,0.5215007408708
FactorialAnalysisFifo-26-20200110-14:57:22-18356,0.1,1.3 -(0.1),1,Network.exit,0.53143171875156
FactorialAnalysisFifo-27-20200110-14:57:23-18361,0.1,1.3 -(0.1),2,Network.exit,0.52245077269043
FactorialAnalysisFifo-28-20200110-14:57:26-18366,0.1,1.3 -(0.1),3,Network.exit,0.53350714487167
FactorialAnalysisFifo-29-20200110-14:57:27-18371,0.1,1.3 -(0.1),4,Network.exit,0.52277049767562
FactorialAnalysisFifo-30-20200110-14:57:27-18376,0.1,1.3 -(0.1),0,Network.exit,0.83789913816558
FactorialAnalysisFifo-31-20200110-14:57:27-18381,0.1,1.3 -(0.1),1,Network.exit,0.84340856927937
FactorialAnalysisFifo-32-20200110-14:57:30-18386,0.1,1.3 -(0.1),2,Network.exit,0.83759942977907
FactorialAnalysisFifo-33-20200110-14:57:31-18391,0.1,1.3 -(0.1),3,Network.exit,0.84785562185417
FactorialAnalysisFifo-34-20200110-14:57:31-18396,0.1,1.3 -(0.1),4,Network.exit,0.83469718256659
FactorialAnalysisFifo-35-20200110-14:57:32-18401,0.1,1.3 -(0.1),0,Network.exit,0.53649567100972
FactorialAnalysisFifo-36-20200110-14:57:34-18406,0.1,1.3 -(0.1),1,Network.exit,0.53164599532023
FactorialAnalysisFifo-37-20200110-14:57:35-18413,0.1,1.3 -(0.1),2,Network.exit,0.53847525743817
FactorialAnalysisFifo-38-20200110-14:57:35-18418,0.1,1.3 -(0.1),3,Network.exit,0.53965946810564
FactorialAnalysisFifo-39-20200110-14:57:36-18423,0.1,1.3 -(0.1),4,Network.exit,0.53678554514047
FactorialAnalysisFifo-40-20200110-14:57:38-18428,1.2,1.3 -(1.2),0,Network.exit,0.76363948062123
FactorialAnalysisFifo-41-20200110-14:57:39-18433,1.2,1.3 -(1.2),1,Network.exit,0.76005661915405
FactorialAnalysisFifo-42-20200110-14:57:39-18438,1.2,1.3 -(1.2),2,Network.exit,0.75708691234355
FactorialAnalysisFifo-43-20200110-14:57:40-18443,1.2,1.3 -(1.2),3,Network.exit,0.75907144166921
FactorialAnalysisFifo-44-20200110-14:57:42-18448,1.2,1.3 -(1.2),4,Network.exit,0.75893786474607
FactorialAnalysisFifo-45-20200110-14:57:43-18453,1.2,1.3 -(1.2),0,Network.exit,0.43345866777788
FactorialAnalysisFifo-46-20200110-14:57:43-18458,1.2,1.3 -(1.2),1,Network.exit,0.43606270806826
FactorialAnalysisFifo-47-20200110-14:57:45-18463,1.2,1.3 -(1.2),2,Network.exit,0.43330081658217
FactorialAnalysisFifo-48-20200110-14:57:47-18468,1.2,1.3 -(1.2),3,Network.exit,0.43092589969946
FactorialAnalysisFifo-49-20200110-14:57:47-18473,1.2,1.3 -(1.2),4,Network.exit,0.4330929009104
FactorialAnalysisFifo-50-20200110-14:57:47-18478,1.2,1.3 -(1.2),0,Network.exit,0.75084119291062
FactorialAnalysisFifo-51-20200110-14:57:49-18483,1.2,1.3 -(1.2),1,Network.exit,0.76135300009452
FactorialAnalysisFifo-52-20200110-14:57:50-18489,1.2,1.3 -(1.2),2,Network.exit,0.75750153377182
FactorialAnalysisFifo-53-20200110-14:57:51-18495,1.2,1.3 -(1.2),3,Network.exit,0.75917232183264
FactorialAnalysisFifo-54-20200110-14:57:51-18500,1.2,1.3 -(1.2),4,Network.exit,0.75639383860702
FactorialAnalysisFifo-55-20200110-14:57:53-18505,1.2,1.3 -(1.2),0,Network.exit,0.42848380812365
FactorialAnalysisFifo-56-20200110-14:57:54-18510,1.2,1.3 -(1.2),1,Network.exit,0.43007732908658
FactorialAnalysisFifo-57-20200110-14:57:55-18515,1.2,1.3 -(1.2),2,Network.exit,0.43327823651898
FactorialAnalysisFifo-58-20200110-14:57:55-18520,1.2,1.3 -(1.2),3,Network.exit,0.42994023555893
FactorialAnalysisFifo-59-20200110-14:57:56-18525,1.2,1.3 -(1.2),4,Network.exit,0.43269127303581
FactorialAnalysisFifo-60-20200110-14:57:58-18530,1.2,1.3 -(1.2),0,Network.exit,0.74922974628129
FactorialAnalysisFifo-61-20200110-14:57:59-18535,1.2,1.3 -(1.2),1,Network.exit,0.76116340493793
FactorialAnalysisFifo-62-20200110-14:57:59-18540,1.2,1.3 -(1.2),2,Network.exit,0.76491558850886
FactorialAnalysisFifo-63-20200110-14:58:00-18545,1.2,1.3 -(1.2),3,Network.exit,0.75876767787301
FactorialAnalysisFifo-64-20200110-14:58:02-18550,1.2,1.3 -(1.2),4,Network.exit,0.75110787026176
FactorialAnalysisFifo-65-20200110-14:58:03-18555,1.2,1.3 -(1.2),0,Network.exit,0.43103968068509
FactorialAnalysisFifo-66-20200110-14:58:03-18560,1.2,1.3 -(1.2),1,Network.exit,0.43505017908641
FactorialAnalysisFifo-67-20200110-14:58:05-18565,1.2,1.3 -(1.2),2,Network.exit,0.43100177627019
FactorialAnalysisFifo-68-20200110-14:58:07-18570,1.2,1.3 -(1.2),3,Network.exit,0.42714331092014
FactorialAnalysisFifo-69-20200110-14:58:07-18575,1.2,1.3 -(1.2),4,Network.exit,0.43476633773624
FactorialAnalysisFifo-70-20200110-14:58:07-18580,1.2,1.3 -(1.2),0,Network.exit,0.76180252386904
FactorialAnalysisFifo-71-20200110-14:58:09-18585,1.2,1.3 -(1.2),1,Network.exit,0.75248978958581
FactorialAnalysisFifo-72-20200110-14:58:11-18590,1.2,1.3 -(1.2),2,Network.exit,0.75245577386877
FactorialAnalysisFifo-73-20200110-14:58:11-18595,1.2,1.3 -(1.2),3,Network.exit,0.76493767414741
FactorialAnalysisFifo-74-20200110-14:58:11-18600,1.2,1.3 -(1.2),4,Network.exit,0.74896890577982
FactorialAnalysisFifo-75-20200110-14:58:14-18605,1.2,1.3 -(1.2),0,Network.exit,0.42937632001272
FactorialAnalysisFifo-76-20200110-14:58:15-18610,1.2,1.3 -(1.2),1,Network.exit,0.43162120341553
FactorialAnalysisFifo-77-20200110-14:58:15-18615,1.2,1.3 -(1.2),2,Network.exit,0.42945820608822
FactorialAnalysisFifo-78-20200110-14:58:16-18620,1.2,1.3 -(1.2),3,Network.exit,0.42743803255871
FactorialAnalysisFifo-79-20200110-14:58:18-18625,1.2,1.3 -(1.2),4,Network.exit,0.42239817746789
