run,nr,vr,repetition,Module,normalQueueLength:timeavg
FactorialAnalysisPriority-19-20200110-15:06:32-19053,0.1,1.3 -(0.1),4,Network.cashier,0.23076263384008
FactorialAnalysisPriority-6-20200110-15:06:21-18985,0.1,1.3 -(0.1),1,Network.cashier,0.23793419856937
FactorialAnalysisPriority-3-20200110-15:06:17-18950,0.1,1.3 -(0.1),3,Network.cashier,2.2978753104418
FactorialAnalysisPriority-61-20200110-15:07:14-19270,1.2,1.3 -(1.2),1,Network.cashier,5.6725877681441
FactorialAnalysisPriority-71-20200110-15:07:24-19321,1.2,1.3 -(1.2),1,Network.cashier,5.3820098457261
FactorialAnalysisPriority-30-20200110-15:06:43-19108,0.1,1.3 -(0.1),0,Network.cashier,2.1218552021276
FactorialAnalysisPriority-63-20200110-15:07:16-19280,1.2,1.3 -(1.2),3,Network.cashier,5.6068387175456
FactorialAnalysisPriority-50-20200110-15:07:03-19209,1.2,1.3 -(1.2),0,Network.cashier,5.443365609626
FactorialAnalysisPriority-72-20200110-15:07:26-19326,1.2,1.3 -(1.2),2,Network.cashier,5.4256642484055
FactorialAnalysisPriority-65-20200110-15:07:18-19290,1.2,1.3 -(1.2),0,Network.cashier,1.1672797601909
FactorialAnalysisPriority-7-20200110-15:06:21-18990,0.1,1.3 -(0.1),2,Network.cashier,0.23424800344476
FactorialAnalysisPriority-29-20200110-15:06:42-19103,0.1,1.3 -(0.1),4,Network.cashier,0.22683345348334
FactorialAnalysisPriority-75-20200110-15:07:29-19341,1.2,1.3 -(1.2),0,Network.cashier,1.1728587967602
FactorialAnalysisPriority-4-20200110-15:06:21-18975,0.1,1.3 -(0.1),4,Network.cashier,2.193896368755
FactorialAnalysisPriority-31-20200110-15:06:43-19113,0.1,1.3 -(0.1),1,Network.cashier,2.2298893522164
FactorialAnalysisPriority-62-20200110-15:07:15-19275,1.2,1.3 -(1.2),2,Network.cashier,5.741824180287
FactorialAnalysisPriority-48-20200110-15:07:02-19199,1.2,1.3 -(1.2),3,Network.cashier,1.1787898507614
FactorialAnalysisPriority-14-20200110-15:06:27-19027,0.1,1.3 -(0.1),4,Network.cashier,2.292194793137
FactorialAnalysisPriority-17-20200110-15:06:31-19043,0.1,1.3 -(0.1),2,Network.cashier,0.23211915841367
FactorialAnalysisPriority-39-20200110-15:06:52-19154,0.1,1.3 -(0.1),4,Network.cashier,0.23395070388427
FactorialAnalysisPriority-28-20200110-15:06:42-19098,0.1,1.3 -(0.1),3,Network.cashier,0.22907008425865
FactorialAnalysisPriority-24-20200110-15:06:38-19078,0.1,1.3 -(0.1),4,Network.cashier,2.1904136643725
FactorialAnalysisPriority-49-20200110-15:07:03-19204,1.2,1.3 -(1.2),4,Network.cashier,1.1734948458548
FactorialAnalysisPriority-1-20200110-15:06:17-18948,0.1,1.3 -(0.1),1,Network.cashier,2.184219218373
FactorialAnalysisPriority-58-20200110-15:07:11-19255,1.2,1.3 -(1.2),3,Network.cashier,1.1833145580943
FactorialAnalysisPriority-47-20200110-15:07:00-19194,1.2,1.3 -(1.2),2,Network.cashier,1.1826013795243
FactorialAnalysisPriority-5-20200110-15:06:21-18980,0.1,1.3 -(0.1),0,Network.cashier,0.22914839982034
FactorialAnalysisPriority-18-20200110-15:06:31-19047,0.1,1.3 -(0.1),3,Network.cashier,0.23067546872831
FactorialAnalysisPriority-59-20200110-15:07:12-19260,1.2,1.3 -(1.2),4,Network.cashier,1.1846439341498
FactorialAnalysisPriority-70-20200110-15:07:23-19316,1.2,1.3 -(1.2),0,Network.cashier,5.666150421478
FactorialAnalysisPriority-27-20200110-15:06:39-19093,0.1,1.3 -(0.1),2,Network.cashier,0.22741903551986
FactorialAnalysisPriority-2-20200110-15:06:17-18949,0.1,1.3 -(0.1),2,Network.cashier,2.1207839170267
FactorialAnalysisPriority-60-20200110-15:07:13-19265,1.2,1.3 -(1.2),0,Network.cashier,5.3160520599741
FactorialAnalysisPriority-43-20200110-15:06:56-19174,1.2,1.3 -(1.2),3,Network.cashier,5.5609230026528
FactorialAnalysisPriority-56-20200110-15:07:09-19245,1.2,1.3 -(1.2),1,Network.cashier,1.1750737208679
FactorialAnalysisPriority-78-20200110-15:07:31-19356,1.2,1.3 -(1.2),3,Network.cashier,1.1758446264086
FactorialAnalysisPriority-69-20200110-15:07:22-19311,1.2,1.3 -(1.2),4,Network.cashier,1.177328793248
FactorialAnalysisPriority-36-20200110-15:06:50-19139,0.1,1.3 -(0.1),1,Network.cashier,0.22562443958195
FactorialAnalysisPriority-22-20200110-15:06:34-19068,0.1,1.3 -(0.1),2,Network.cashier,2.1513126179581
FactorialAnalysisPriority-53-20200110-15:07:06-19230,1.2,1.3 -(1.2),3,Network.cashier,5.6050536663137
FactorialAnalysisPriority-45-20200110-15:06:59-19184,1.2,1.3 -(1.2),0,Network.cashier,1.1943841041037
FactorialAnalysisPriority-54-20200110-15:07:07-19235,1.2,1.3 -(1.2),4,Network.cashier,5.5263748434741
FactorialAnalysisPriority-12-20200110-15:06:27-19017,0.1,1.3 -(0.1),2,Network.cashier,2.1724237567881
FactorialAnalysisPriority-34-20200110-15:06:47-19129,0.1,1.3 -(0.1),4,Network.cashier,2.0717138947585
FactorialAnalysisPriority-0-20200110-15:06:17-18947,0.1,1.3 -(0.1),0,Network.cashier,2.1530090654694
FactorialAnalysisPriority-13-20200110-15:06:27-19022,0.1,1.3 -(0.1),3,Network.cashier,2.1595998413101
FactorialAnalysisPriority-26-20200110-15:06:39-19088,0.1,1.3 -(0.1),1,Network.cashier,0.23202927203781
FactorialAnalysisPriority-68-20200110-15:07:21-19306,1.2,1.3 -(1.2),3,Network.cashier,1.1810495236793
FactorialAnalysisPriority-44-20200110-15:06:57-19179,1.2,1.3 -(1.2),4,Network.cashier,5.6531780221446
FactorialAnalysisPriority-15-20200110-15:06:28-19032,0.1,1.3 -(0.1),0,Network.cashier,0.23382895876444
FactorialAnalysisPriority-37-20200110-15:06:51-19144,0.1,1.3 -(0.1),2,Network.cashier,0.23575561105478
FactorialAnalysisPriority-16-20200110-15:06:31-19038,0.1,1.3 -(0.1),1,Network.cashier,0.23209234797994
FactorialAnalysisPriority-38-20200110-15:06:51-19149,0.1,1.3 -(0.1),3,Network.cashier,0.23574642325668
FactorialAnalysisPriority-23-20200110-15:06:35-19073,0.1,1.3 -(0.1),3,Network.cashier,2.1578615870495
FactorialAnalysisPriority-25-20200110-15:06:38-19083,0.1,1.3 -(0.1),0,Network.cashier,0.22092455226025
FactorialAnalysisPriority-46-20200110-15:06:59-19189,1.2,1.3 -(1.2),1,Network.cashier,1.1852219841452
FactorialAnalysisPriority-57-20200110-15:07:10-19250,1.2,1.3 -(1.2),2,Network.cashier,1.1751737781156
FactorialAnalysisPriority-79-20200110-15:07:33-19361,1.2,1.3 -(1.2),4,Network.cashier,1.1554893050319
FactorialAnalysisPriority-51-20200110-15:07:04-19214,1.2,1.3 -(1.2),1,Network.cashier,5.6633622531083
FactorialAnalysisPriority-73-20200110-15:07:26-19331,1.2,1.3 -(1.2),3,Network.cashier,5.8387524574999
FactorialAnalysisPriority-64-20200110-15:07:17-19285,1.2,1.3 -(1.2),4,Network.cashier,5.4087514590818
FactorialAnalysisPriority-67-20200110-15:07:20-19301,1.2,1.3 -(1.2),2,Network.cashier,1.1931111857337
FactorialAnalysisPriority-9-20200110-15:06:24-19002,0.1,1.3 -(0.1),4,Network.cashier,0.23469899707613
FactorialAnalysisPriority-41-20200110-15:06:55-19164,1.2,1.3 -(1.2),1,Network.cashier,5.6781161304792
FactorialAnalysisPriority-20-20200110-15:06:34-19058,0.1,1.3 -(0.1),0,Network.cashier,2.1766431875836
FactorialAnalysisPriority-8-20200110-15:06:24-18997,0.1,1.3 -(0.1),3,Network.cashier,0.22390807775595
FactorialAnalysisPriority-40-20200110-15:06:54-19159,1.2,1.3 -(1.2),0,Network.cashier,5.7172262656968
FactorialAnalysisPriority-66-20200110-15:07:19-19296,1.2,1.3 -(1.2),1,Network.cashier,1.1802818476469
FactorialAnalysisPriority-76-20200110-15:07:30-19346,1.2,1.3 -(1.2),1,Network.cashier,1.183561621928
FactorialAnalysisPriority-10-20200110-15:06:24-19007,0.1,1.3 -(0.1),0,Network.cashier,2.224974687827
FactorialAnalysisPriority-32-20200110-15:06:46-19119,0.1,1.3 -(0.1),2,Network.cashier,2.1430420242883
FactorialAnalysisPriority-21-20200110-15:06:34-19063,0.1,1.3 -(0.1),1,Network.cashier,2.1057825318689
FactorialAnalysisPriority-35-20200110-15:06:48-19134,0.1,1.3 -(0.1),0,Network.cashier,0.23111143906928
FactorialAnalysisPriority-52-20200110-15:07:06-19225,1.2,1.3 -(1.2),2,Network.cashier,5.5352418752794
FactorialAnalysisPriority-74-20200110-15:07:27-19336,1.2,1.3 -(1.2),4,Network.cashier,5.3273855717003
FactorialAnalysisPriority-42-20200110-15:06:56-19169,1.2,1.3 -(1.2),2,Network.cashier,5.553553742859
FactorialAnalysisPriority-55-20200110-15:07:08-19240,1.2,1.3 -(1.2),0,Network.cashier,1.1786034097578
FactorialAnalysisPriority-77-20200110-15:07:30-19351,1.2,1.3 -(1.2),2,Network.cashier,1.1890357152775
FactorialAnalysisPriority-11-20200110-15:06:24-19012,0.1,1.3 -(0.1),1,Network.cashier,2.2216466903236
FactorialAnalysisPriority-33-20200110-15:06:47-19124,0.1,1.3 -(0.1),3,Network.cashier,2.321474705332
