run,nr,vr,repetition,Module,normalQueueLength:timeavg
FactorialAnalysisPriority-19-20200110-15:06:32-19053,0.1,1.3 -(0.1),4,Network.kitchen,0.0070664490629353
FactorialAnalysisPriority-6-20200110-15:06:21-18985,0.1,1.3 -(0.1),1,Network.kitchen,0.01391897144086
FactorialAnalysisPriority-3-20200110-15:06:17-18950,0.1,1.3 -(0.1),3,Network.kitchen,0.013268686115147
FactorialAnalysisPriority-61-20200110-15:07:14-19270,1.2,1.3 -(1.2),1,Network.kitchen,5.1956178444535
FactorialAnalysisPriority-71-20200110-15:07:24-19321,1.2,1.3 -(1.2),1,Network.kitchen,1.1734922438528
FactorialAnalysisPriority-30-20200110-15:06:43-19108,0.1,1.3 -(0.1),0,Network.kitchen,0.24644379757407
FactorialAnalysisPriority-63-20200110-15:07:16-19280,1.2,1.3 -(1.2),3,Network.kitchen,5.5059641481314
FactorialAnalysisPriority-50-20200110-15:07:03-19209,1.2,1.3 -(1.2),0,Network.kitchen,0.055963112584446
FactorialAnalysisPriority-72-20200110-15:07:26-19326,1.2,1.3 -(1.2),2,Network.kitchen,1.1575939034538
FactorialAnalysisPriority-65-20200110-15:07:18-19290,1.2,1.3 -(1.2),0,Network.kitchen,5.4792046386682
FactorialAnalysisPriority-7-20200110-15:06:21-18990,0.1,1.3 -(0.1),2,Network.kitchen,0.013279238236461
FactorialAnalysisPriority-29-20200110-15:06:42-19103,0.1,1.3 -(0.1),4,Network.kitchen,2.0392972859948
FactorialAnalysisPriority-75-20200110-15:07:29-19341,1.2,1.3 -(1.2),0,Network.kitchen,1.1947068510064
FactorialAnalysisPriority-4-20200110-15:06:21-18975,0.1,1.3 -(0.1),4,Network.kitchen,0.014577922639702
FactorialAnalysisPriority-31-20200110-15:06:43-19113,0.1,1.3 -(0.1),1,Network.kitchen,0.24825624600724
FactorialAnalysisPriority-62-20200110-15:07:15-19275,1.2,1.3 -(1.2),2,Network.kitchen,5.8588635410354
FactorialAnalysisPriority-48-20200110-15:07:02-19199,1.2,1.3 -(1.2),3,Network.kitchen,0.1088450349991
FactorialAnalysisPriority-14-20200110-15:06:27-19027,0.1,1.3 -(0.1),4,Network.kitchen,0.0065972791516725
FactorialAnalysisPriority-17-20200110-15:06:31-19043,0.1,1.3 -(0.1),2,Network.kitchen,0.0055623267685526
FactorialAnalysisPriority-39-20200110-15:06:52-19154,0.1,1.3 -(0.1),4,Network.kitchen,0.24441710663469
FactorialAnalysisPriority-28-20200110-15:06:42-19098,0.1,1.3 -(0.1),3,Network.kitchen,2.3030030502115
FactorialAnalysisPriority-24-20200110-15:06:38-19078,0.1,1.3 -(0.1),4,Network.kitchen,2.1182654236821
FactorialAnalysisPriority-49-20200110-15:07:03-19204,1.2,1.3 -(1.2),4,Network.kitchen,0.11146937605783
FactorialAnalysisPriority-1-20200110-15:06:17-18948,0.1,1.3 -(0.1),1,Network.kitchen,0.014915510168335
FactorialAnalysisPriority-58-20200110-15:07:11-19255,1.2,1.3 -(1.2),3,Network.kitchen,0.05606436329982
FactorialAnalysisPriority-47-20200110-15:07:00-19194,1.2,1.3 -(1.2),2,Network.kitchen,0.11166453477485
FactorialAnalysisPriority-5-20200110-15:06:21-18980,0.1,1.3 -(0.1),0,Network.kitchen,0.014355760122633
FactorialAnalysisPriority-18-20200110-15:06:31-19047,0.1,1.3 -(0.1),3,Network.kitchen,0.0055697728318507
FactorialAnalysisPriority-59-20200110-15:07:12-19260,1.2,1.3 -(1.2),4,Network.kitchen,0.056586381746207
FactorialAnalysisPriority-70-20200110-15:07:23-19316,1.2,1.3 -(1.2),0,Network.kitchen,1.1535638959629
FactorialAnalysisPriority-27-20200110-15:06:39-19093,0.1,1.3 -(0.1),2,Network.kitchen,2.3590720164216
FactorialAnalysisPriority-2-20200110-15:06:17-18949,0.1,1.3 -(0.1),2,Network.kitchen,0.01474063915551
FactorialAnalysisPriority-60-20200110-15:07:13-19265,1.2,1.3 -(1.2),0,Network.kitchen,5.8195522896506
FactorialAnalysisPriority-43-20200110-15:06:56-19174,1.2,1.3 -(1.2),3,Network.kitchen,0.11126905685513
FactorialAnalysisPriority-56-20200110-15:07:09-19245,1.2,1.3 -(1.2),1,Network.kitchen,0.056220021987697
FactorialAnalysisPriority-78-20200110-15:07:31-19356,1.2,1.3 -(1.2),3,Network.kitchen,1.1655479585471
FactorialAnalysisPriority-69-20200110-15:07:22-19311,1.2,1.3 -(1.2),4,Network.kitchen,5.7312661035778
FactorialAnalysisPriority-36-20200110-15:06:50-19139,0.1,1.3 -(0.1),1,Network.kitchen,0.24159044018152
FactorialAnalysisPriority-22-20200110-15:06:34-19068,0.1,1.3 -(0.1),2,Network.kitchen,2.0111860164977
